date,symbol,marketcapname,sector
04-09-2023,ULTRACEMCO,Largecap,Industrials
07-09-2023,NIFTY,Smallcap,Indices
08-09-2023,POWERGRID,Largecap,Miscellaneous
11-09-2023,HDFCBANK,Largecap,Bank
11-09-2023,JSWSTEEL,Largecap,Metals
11-09-2023,BPCL,Largecap,Industrials
11-09-2023,APOLLOHOSP,Largecap,Pharmaceuticals
11-09-2023,HDFCLIFE,Largecap,Services
12-09-2023,DIVISLAB,Largecap,Pharmaceuticals
13-09-2023,SBIN,Largecap,Bank
13-09-2023,BAJAJFINSV,Largecap,Finance
14-09-2023,BAJAJ-AUTO,Largecap,Auto
18-09-2023,HEROMOTOCO,Largecap,Auto
18-09-2023,NESTLEIND,Largecap,FMCG
26-09-2023,EICHERMOT,Largecap,Auto
11-10-2023,HINDUNILVR,Largecap,FMCG
13-10-2023,TATAMOTORS,Largecap,Auto
18-10-2023,SBILIFE,Largecap,Services
19-10-2023,CIPLA,Largecap,Pharmaceuticals
19-10-2023,LTIM,Largecap,I.T
01-11-2023,BPCL,Largecap,Industrials
02-11-2023,SHRIRAMFIN,Largecap,Finance
03-11-2023,SBIN,Largecap,Bank
03-11-2023,TITAN,Largecap,Miscellaneous
03-11-2023,APOLLOHOSP,Largecap,Pharmaceuticals
06-11-2023,RELIANCE,Largecap,Industrials
06-11-2023,BRITANNIA,Largecap,FMCG
06-11-2023,EICHERMOT,Largecap,Auto
06-11-2023,ULTRACEMCO,Largecap,Industrials
07-11-2023,SUNPHARMA,Largecap,Pharmaceuticals
08-11-2023,AXISBANK,Largecap,Bank
08-11-2023,ADANIPORTS,Largecap,Industrials
12-11-2023,LT,Largecap,Realty
12-11-2023,NIFTY,Smallcap,Indices
15-11-2023,HINDALCO,Largecap,Metals
15-11-2023,ASIANPAINT,Largecap,Industrials
16-11-2023,INFY,Largecap,I.T
16-11-2023,TATASTEEL,Largecap,Metals
16-11-2023,M&M,Largecap,Auto
16-11-2023,TATAMOTORS,Largecap,Auto
16-11-2023,WIPRO,Largecap,I.T
16-11-2023,HCLTECH,Largecap,I.T
16-11-2023,TCS,Largecap,I.T
16-11-2023,TECHM,Largecap,I.T
16-11-2023,LTIM,Largecap,I.T
17-11-2023,DIVISLAB,Largecap,Pharmaceuticals
20-11-2023,HDFCLIFE,Largecap,Services
20-11-2023,BHARTIARTL,Largecap,Telecom
21-11-2023,JSWSTEEL,Largecap,Metals
22-11-2023,DRREDDY,Largecap,Pharmaceuticals
28-11-2023,ADANIENT,Largecap,Services
29-11-2023,HDFCBANK,Largecap,Bank
29-11-2023,GRASIM,Largecap,Textiles
29-11-2023,AXISBANK,Largecap,Bank
30-11-2023,BAJAJFINSV,Largecap,Finance
01-12-2023,ITC,Largecap,FMCG
04-12-2023,SBIN,Largecap,Bank
04-12-2023,KOTAKBANK,Largecap,Bank
04-12-2023,ONGC,Largecap,Oils
04-12-2023,ICICIBANK,Largecap,Bank
18-12-2023,BAJFINANCE,Largecap,Finance
28-12-2023,DRREDDY,Largecap,Pharmaceuticals
28-12-2023,BHARTIARTL,Largecap,Telecom
02-01-2024,CIPLA,Largecap,Pharmaceuticals
04-01-2024,BAJFINANCE,Largecap,Finance
19-01-2024,BPCL,Largecap,Industrials
23-01-2024,ICICIBANK,Largecap,Bank
01-02-2024,EICHERMOT,Largecap,Auto
01-02-2024,MARUTI,Largecap,Auto
05-02-2024,TATASTEEL,Largecap,Metals
05-02-2024,M&M,Largecap,Auto
07-02-2024,SBIN,Largecap,Bank
08-02-2024,HINDALCO,Largecap,Metals
16-02-2024,SBILIFE,Largecap,Services
19-02-2024,NIFTY,Smallcap,Indices
27-02-2024,NESTLEIND,Largecap,FMCG
01-03-2024,LT,Largecap,Realty
06-03-2024,TITAN,Largecap,Miscellaneous
06-03-2024,HDFCLIFE,Largecap,Services
07-03-2024,BAJAJ-AUTO,Largecap,Auto
21-03-2024,BAJFINANCE,Largecap,Finance
22-03-2024,ITC,Largecap,FMCG
26-03-2024,HINDALCO,Largecap,Metals
28-03-2024,KOTAKBANK,Largecap,Bank
28-03-2024,INDUSINDBK,Largecap,Bank
01-04-2024,JSWSTEEL,Largecap,Metals
01-04-2024,TATASTEEL,Largecap,Metals
01-04-2024,APOLLOHOSP,Largecap,Pharmaceuticals
01-04-2024,ADANIPORTS,Largecap,Industrials
02-04-2024,HDFCBANK,Largecap,Bank
02-04-2024,DIVISLAB,Largecap,Pharmaceuticals
02-04-2024,NTPC,Largecap,Miscellaneous
02-04-2024,BAJAJFINSV,Largecap,Finance
03-04-2024,SHRIRAMFIN,Largecap,Finance
04-04-2024,M&M,Largecap,Auto
08-04-2024,NIFTY,Smallcap,Indices
24-04-2024,POWERGRID,Largecap,Miscellaneous
25-04-2024,SBIN,Largecap,Bank
25-04-2024,AXISBANK,Largecap,Bank
26-04-2024,TECHM,Largecap,I.T